requirement_id,model_id,disposition,design_targets,source,claim
"MVP1-SYS-REQ-001","SystemRequirement001","inherited","MVP1","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-002","SystemRequirement002","inherited","DomainTruthOwned","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-003","SystemRequirement003","inherited","TargetContract","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-004","SystemRequirement004","inherited","MaintainDualUpstreams","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-005","SystemRequirement005","inherited","MachineLab;BuckingLab","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-006","SystemRequirement006","inherited","CommonServiceContract","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-007","SystemRequirement007","inherited","ContractRegistry","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-008","SystemRequirement008","inherited","FrameServiceMessages","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-009","SystemRequirement009","inherited","OperatorBrowserContract","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
"MVP1-SYS-REQ-010","SystemRequirement010","inherited","FormatLabConsole","https://github.com/Hans-Einar/ponsse/blob/7589a5811a21ec6bb13979612060ceff0f690df8/MVP1/SDP/03--Requirements/requirements.md","design obligation mapped; no implementation verification"
